acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song,speechiness,tempo,time_signature,track_href,type,uri,valence
0.896,https://api.spotify.com/v1/audio-analysis/6aXz46SzXMH4rSgSghwixD,0.244,109507,0.532,6aXz46SzXMH4rSgSghwixD,0.000533,0,0.987,-13.491,1,#40 - DAVE MATTHEWS BAND,0.0653,93.689,5,https://api.spotify.com/v1/tracks/6aXz46SzXMH4rSgSghwixD,audio_features,spotify:track:6aXz46SzXMH4rSgSghwixD,0.467
0.0473,https://api.spotify.com/v1/audio-analysis/3TMwHtO5c4jlnnFZK8MuBH,0.619,258133,0.629,3TMwHtO5c4jlnnFZK8MuBH,0.227,1,0.314,-4.109,0,& Down - Boys Noize,0.33,123.003,4,https://api.spotify.com/v1/tracks/3TMwHtO5c4jlnnFZK8MuBH,audio_features,spotify:track:3TMwHtO5c4jlnnFZK8MuBH,0.262
0.679,https://api.spotify.com/v1/audio-analysis/3TcmqdciWnQOXxYohhERbP,0.467,310280,0.95,3TcmqdciWnQOXxYohhERbP,0.0015,7,0.0718,-7.06,1,(Antichrist Television Blues) - Arcade Fire,0.0436,79.537,4,https://api.spotify.com/v1/tracks/3TcmqdciWnQOXxYohhERbP,audio_features,spotify:track:3TcmqdciWnQOXxYohhERbP,0.836
0.0119,https://api.spotify.com/v1/audio-analysis/0YPXkQthLWrhNGoKTbwCJ8,0.632,278627,0.727,0YPXkQthLWrhNGoKTbwCJ8,7.64E-05,11,0.0678,-11.209,0,(I Just) Died In Your Arms - Cutting Crew,0.0438,124.919,4,https://api.spotify.com/v1/tracks/0YPXkQthLWrhNGoKTbwCJ8,audio_features,spotify:track:0YPXkQthLWrhNGoKTbwCJ8,0.499
0.161,https://api.spotify.com/v1/audio-analysis/4QbQ55kHcRNho6XLaPctT1,0.262,233227,0.567,4QbQ55kHcRNho6XLaPctT1,0.263,9,0.225,-11.075,1,(Nice Dream) - Radiohead,0.0344,172.857,3,https://api.spotify.com/v1/tracks/4QbQ55kHcRNho6XLaPctT1,audio_features,spotify:track:4QbQ55kHcRNho6XLaPctT1,0.377
0.466,https://api.spotify.com/v1/audio-analysis/4ZY9RCnfdaAqn0O82F0JSe,0.647,165133,0.589,4ZY9RCnfdaAqn0O82F0JSe,0,10,0.595,-8.644,1,(Remember The Days Of The) Old Schoolyard - Cat Stevens,0.0585,146.201,4,https://api.spotify.com/v1/tracks/4ZY9RCnfdaAqn0O82F0JSe,audio_features,spotify:track:4ZY9RCnfdaAqn0O82F0JSe,0.633
0.684,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,0.769,163756,0.367,3zBhihYUHBmGd2bcQIobrF,1.62E-05,2,0.081,-11.226,1,(Sittin\' On) The Dock Of The Bay - Otis Redding,0.0312,103.621,4,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,audio_features,spotify:track:3zBhihYUHBmGd2bcQIobrF,0.535
0.018,https://api.spotify.com/v1/audio-analysis/7BMc7RwEPbPMJsvEQEUCZa,0.512,250320,0.816,7BMc7RwEPbPMJsvEQEUCZa,0,5,0.23,-3.261,1,(Splash) Turn Twist - Jimmy Eat World,0.0402,104.184,4,https://api.spotify.com/v1/tracks/7BMc7RwEPbPMJsvEQEUCZa,audio_features,spotify:track:7BMc7RwEPbPMJsvEQEUCZa,0.497
0.00294,https://api.spotify.com/v1/audio-analysis/5x947NTXu21C0UkXxQ3JwJ,0.61,263693,0.52,5x947NTXu21C0UkXxQ3JwJ,0.000553,11,0.0671,-12.889,1,(The Symphony Of) Blase\' - Anberlin,0.0289,130.413,4,https://api.spotify.com/v1/tracks/5x947NTXu21C0UkXxQ3JwJ,audio_features,spotify:track:5x947NTXu21C0UkXxQ3JwJ,0.451
0.669,https://api.spotify.com/v1/audio-analysis/79SE4x5ZROfEqaN12nXFHj,0.543,276000,0.241,79SE4x5ZROfEqaN12nXFHj,6.27E-05,8,0.121,-14.59,1,(They Long To Be) Close To You - Carpenters,0.0344,89.078,4,https://api.spotify.com/v1/tracks/79SE4x5ZROfEqaN12nXFHj,audio_features,spotify:track:79SE4x5ZROfEqaN12nXFHj,0.205
0.0931,https://api.spotify.com/v1/audio-analysis/6wJB7DTMIJAZuQ0vPLr8H9,0.677,198427,0.965,6wJB7DTMIJAZuQ0vPLr8H9,0.000108,8,0.345,-2.355,1,(You Drive Me) Crazy (The Stop Remix!) - Britney Spears,0.0426,101.068,4,https://api.spotify.com/v1/tracks/6wJB7DTMIJAZuQ0vPLr8H9,audio_features,spotify:track:6wJB7DTMIJAZuQ0vPLr8H9,0.749
0.401,https://api.spotify.com/v1/audio-analysis/2erTdgDOZmjJNaNhjhWXhJ,0.518,146067,0.432,2erTdgDOZmjJNaNhjhWXhJ,0,10,0.299,-11.689,0,(\'Til) I Kissed You - Everly Brothers,0.0459,139.567,4,https://api.spotify.com/v1/tracks/2erTdgDOZmjJNaNhjhWXhJ,audio_features,spotify:track:2erTdgDOZmjJNaNhjhWXhJ,0.701
0.977,https://api.spotify.com/v1/audio-analysis/0qDF0jdsx7hirKb2BG3lvw,0.418,27000,0.014,0qDF0jdsx7hirKb2BG3lvw,0.0797,11,0.0865,-33.869,1,(iii) - The Gerbils,0.0518,78.62,4,https://api.spotify.com/v1/tracks/0qDF0jdsx7hirKb2BG3lvw,audio_features,spotify:track:0qDF0jdsx7hirKb2BG3lvw,0.118
0.202,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,0.759,211067,0.699,3MjUtNVVq3C8Fn0MP3zhXa,0.000131,0,0.443,-5.745,0,...Baby One More Time - Britney Spears,0.0307,92.96,4,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,audio_features,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,0.907
0.0144,https://api.spotify.com/v1/audio-analysis/1a64u7QtJ9yDwpNyfDrZTj,0.497,221507,0.786,1a64u7QtJ9yDwpNyfDrZTj,0,1,0.638,-6.05,0,..Come Around - Collie Buddz,0.322,152.982,4,https://api.spotify.com/v1/tracks/1a64u7QtJ9yDwpNyfDrZTj,audio_features,spotify:track:1a64u7QtJ9yDwpNyfDrZTj,0.736
0.000214,https://api.spotify.com/v1/audio-analysis/3jSdTr9SMjFPF2PCATMQhD,0.544,244707,0.963,3jSdTr9SMjFPF2PCATMQhD,3.49E-05,7,0.365,-5.002,1,0010 - Ayabie,0.127,140.004,4,https://api.spotify.com/v1/tracks/3jSdTr9SMjFPF2PCATMQhD,audio_features,spotify:track:3jSdTr9SMjFPF2PCATMQhD,0.326
0.0629,https://api.spotify.com/v1/audio-analysis/7fSFdF4ymvjiOIr1EzB2pu,0.437,125507,0.903,7fSFdF4ymvjiOIr1EzB2pu,0.429,1,0.34,-4.467,1,1.36 - Coldplay,0.0532,136.759,4,https://api.spotify.com/v1/tracks/7fSFdF4ymvjiOIr1EzB2pu,audio_features,spotify:track:7fSFdF4ymvjiOIr1EzB2pu,0.578
0.597,https://api.spotify.com/v1/audio-analysis/4HIx4KL2XRilgBf6WzfLqI,0.497,179133,0.944,4HIx4KL2XRilgBf6WzfLqI,0.119,0,0.0376,-3.31,1,10 A.M. Automatic - The Black Keys,0.103,122.582,4,https://api.spotify.com/v1/tracks/4HIx4KL2XRilgBf6WzfLqI,audio_features,spotify:track:4HIx4KL2XRilgBf6WzfLqI,0.511
0.000401,https://api.spotify.com/v1/audio-analysis/6ecOkIL8Al6dOlBrqL81Tn,0.405,165853,0.95,6ecOkIL8Al6dOlBrqL81Tn,0,0,0.0939,-5.442,0,10 Miles Wide - Escape The Fate,0.131,157.994,4,https://api.spotify.com/v1/tracks/6ecOkIL8Al6dOlBrqL81Tn,audio_features,spotify:track:6ecOkIL8Al6dOlBrqL81Tn,0.438
0.00106,https://api.spotify.com/v1/audio-analysis/39zN9w7I61Bc8q9QsCJXBn,0.355,228747,0.954,39zN9w7I61Bc8q9QsCJXBn,4.78E-05,7,0.294,-2.79,1,100° - Shout Out Louds,0.0734,155.58,4,https://api.spotify.com/v1/tracks/39zN9w7I61Bc8q9QsCJXBn,audio_features,spotify:track:39zN9w7I61Bc8q9QsCJXBn,0.57
0.00624,https://api.spotify.com/v1/audio-analysis/0l7djXY6dukQGO9qzWadiz,0.656,222093,0.437,0l7djXY6dukQGO9qzWadiz,0.0264,0,0.157,-10.437,1,10:15 Saturday Night - The Cure,0.0981,174.701,4,https://api.spotify.com/v1/tracks/0l7djXY6dukQGO9qzWadiz,audio_features,spotify:track:0l7djXY6dukQGO9qzWadiz,0.355
0.0486,https://api.spotify.com/v1/audio-analysis/23Cr3klTV6cX5zuv8AySyI,0.469,253427,0.669,23Cr3klTV6cX5zuv8AySyI,0.577,0,0.111,-7.357,1,11 am - Incubus,0.0314,153.976,4,https://api.spotify.com/v1/tracks/23Cr3klTV6cX5zuv8AySyI,audio_features,spotify:track:23Cr3klTV6cX5zuv8AySyI,0.297
0.219,https://api.spotify.com/v1/audio-analysis/2CzWeyC9zlDpIOZPUUKrBW,0.71,183667,0.491,2CzWeyC9zlDpIOZPUUKrBW,1.99E-06,2,0.0859,-7.382,1,1234 - Feist,0.0504,109.933,4,https://api.spotify.com/v1/tracks/2CzWeyC9zlDpIOZPUUKrBW,audio_features,spotify:track:2CzWeyC9zlDpIOZPUUKrBW,0.638
